날짜,종가,등락율,시작가,최고가,최저가,거래량
2021-12-22,79400,1.66,78900,79400,78800,15653371
2021-12-21,78100,1.30,77900,78300,77500,14245298
2021-12-20,77100,-1.15,77600,77800,76800,11264375
2021-12-17,78000,0.26,76800,78000,76800,13108479
2021-12-16,77800,0.26,78500,78500,77400,11996128
2021-12-15,77600,0.78,76400,77600,76300,9584939
2021-12-14,77000,0.26,76500,77200,76200,10976660
2021-12-13,76800,-0.13,77200,78300,76500,15038750
2021-12-10,76900,-1.66,77400,77600,76800,9155219
2021-12-09,78200,1.03,77400,78200,77000,21604528
2021-12-08,77400,0.00,78300,78600,77100,21558340
2021-12-07,77400,1.44,76100,77700,75600,19232453
2021-12-06,76300,0.93,75100,76700,74900,16391250
2021-12-03,75600,-0.26,75600,76000,74100,18330240
2021-12-02,75800,1.88,73900,75800,73800,23652940
2021-12-01,74400,4.35,72000,74800,71600,21954856
2021-11-30,71300,-1.38,73200,73900,70500,30364841
2021-11-29,72300,0.00,71700,73000,71400,16682559
2021-11-26,72300,-1.90,73500,74100,72000,13002242
2021-11-25,73700,-1.47,75100,75100,73600,12559258
2021-11-24,74800,-0.66,76000,76200,74100,15652305
2021-11-23,75300,0.53,76000,76000,74500,22029195
2021-11-22,74900,5.20,73300,75200,73000,27506623
2021-11-19,71200,1.42,70400,71400,70100,11954728
2021-11-18,70200,-0.71,70700,71000,70200,10144957
2021-11-17,70700,-0.84,71300,71600,70600,11027606
2021-11-16,71300,-0.14,71500,72000,71300,10919239
2021-11-15,71400,1.13,71700,71900,70900,12420710
2021-11-12,70600,1.00,70200,70900,69900,10087450
2021-11-11,69900,-0.43,69900,70000,69600,11489122
2021-11-10,70200,-0.43,70300,70900,70200,9422009
2021-11-09,70500,-0.14,70300,71000,70100,11159589
2021-11-08,70600,0.57,70400,70600,69800,11121981
2021-11-05,70200,-0.57,71600,71600,70200,12667743
2021-11-04,70600,0.28,71200,71600,70500,11818987
2021-11-03,70400,-1.54,71700,71700,70100,12770428
2021-11-02,71500,2.29,70800,72200,70700,16812570
2021-11-01,69900,0.14,70200,70600,69900,11503729
2021-10-29,69800,-1.27,71200,71600,69700,17016151
2021-10-28,70700,0.86,69500,72200,69500,20644902
2021-10-27,70100,-1.41,71000,71000,70000,10295316
2021-10-26,71100,1.28,70600,71500,70400,10528252
2021-10-25,70200,-0.28,69900,70600,69500,10029621
2021-10-22,70400,0.28,70000,70700,70000,8395448
2021-10-21,70200,-0.14,70300,70600,70000,10891094
2021-10-20,70300,-0.42,70700,71000,70200,10151638
2021-10-19,70600,0.57,70800,71000,70400,9507991
2021-10-18,70200,0.14,70200,70300,69200,13486391
2021-10-15,70100,1.01,70200,71000,70000,18051612
2021-10-14,69400,0.87,69000,69800,68800,19520641
2021-10-13,68800,-0.29,68700,69600,68300,24172015
2021-10-12,69000,-3.50,70700,70900,68700,31001484
2021-10-08,71500,-0.14,72300,72400,71500,14043287
2021-10-07,71600,0.42,71600,72100,71300,13683532
2021-10-06,71300,-1.25,72600,72800,71200,18956962
2021-10-05,72200,-1.37,73000,73000,71400,24013921
2021-10-01,73200,-1.21,73900,74000,72900,15803395
2021-09-30,74100,0.00,74300,74800,73700,19919361
2021-09-29,74100,-2.88,74800,75300,73800,23992458
2021-09-28,76300,-1.80,77700,77800,76200,15406382
2021-09-27,77700,0.52,77300,77700,77000,11699798
2021-09-24,77300,-0.13,77600,77700,77100,12247274
2021-09-23,77400,0.26,77500,77600,76800,17055590
2021-09-17,77200,1.45,76300,77200,75900,16289502
2021-09-16,76100,-1.17,77300,77400,76100,13067622
2021-09-15,77000,0.52,77400,77400,76400,12829128
2021-09-14,76600,0.39,77100,77700,76600,18167057
2021-09-13,76300,1.33,75200,76300,75100,11397775
2021-09-10,75300,0.00,75300,75600,74800,10103212
2021-09-09,75300,-1.31,76400,76600,75000,17600770
2021-09-08,76300,0.26,76000,76400,75600,11798147
2021-09-07,76100,-1.55,77100,77100,75900,13239401
2021-09-06,77300,0.91,76800,77600,76600,12861180
2021-09-03,76600,0.79,76400,76700,76000,12096419
2021-09-02,76000,-1.04,76800,76800,75700,15347486
2021-09-01,76800,0.13,76700,77100,75900,16114775
2021-08-31,76700,2.82,74900,76700,74300,24630370
2021-08-30,74600,0.40,75400,75500,74200,12686999
2021-08-27,74300,-0.40,74300,75000,73800,15172748
2021-08-26,74600,-1.45,76100,76200,74600,16671494
2021-08-25,75700,0.13,76200,76600,74900,22319664
2021-08-24,75600,3.14,73900,75700,73900,21016913
2021-08-23,73300,0.83,73300,74000,73000,19384648
2021-08-20,72700,-0.55,73500,73900,72500,22364803
2021-08-19,73100,-1.08,73500,74400,73100,22166298
2021-08-18,73900,-0.40,73900,74600,73100,29192631
2021-08-17,74200,-0.27,74000,75100,74000,30944847
2021-08-13,74400,-3.38,75800,76000,74100,61270643
2021-08-12,77000,-1.91,77100,78200,76900,42365223
2021-08-11,78500,-2.12,79600,79800,78500,30241137
2021-08-10,80200,-1.60,82300,82400,80100,20362639
2021-08-09,81500,0.00,81500,82300,80900,15522581
2021-08-06,81500,-0.73,81900,82500,81300,13342623
2021-08-05,82100,-0.97,83300,83300,82000,18485469
2021-08-04,82900,1.84,82200,83100,81800,25642368
2021-08-03,81400,2.65,79400,81400,79300,24339360
2021-08-02,79300,1.02,79200,79500,78700,11739124
2021-07-30,78500,-0.63,78900,78900,78500,13823411
2021-07-29,79000,-0.25,78800,79400,78800,14360453
2021-07-28,79200,0.89,78300,79200,78100,12743417
2021-07-27,78500,-0.38,79200,79400,78500,11427693
2021-07-26,78800,-0.63,79400,79500,78800,10040975
2021-07-23,79300,-0.50,79700,79900,79200,9098910
2021-07-22,79700,1.53,79000,79800,78900,12618790
2021-07-21,78500,-0.63,79000,79100,78500,12355296
2021-07-20,79000,0.00,78500,79000,78400,12456646
2021-07-19,79000,-1.00,79100,79200,78800,13155414
2021-07-16,79800,-0.99,80100,80100,79500,10859399
2021-07-15,80600,1.38,79800,80600,79500,13766279
2021-07-14,79500,-0.38,79400,79600,79100,11575636
2021-07-13,79800,0.13,80000,80200,79800,9863450
2021-07-12,79700,0.38,79900,80000,79500,9768108
2021-07-09,79400,-0.63,79600,79800,79000,22720577
2021-07-08,79900,-1.11,81100,81200,79900,16660998
2021-07-07,80800,-0.49,81200,81300,80300,15992202
2021-07-06,81200,1.00,80600,81200,80500,12131651
2021-07-05,80400,0.50,80100,80800,80000,8330969
2021-07-02,80000,-0.12,80000,80400,79900,8753097
2021-07-01,80100,-0.74,80500,80600,80000,13382882
2021-06-30,80700,-0.37,81100,81400,80700,13288643
2021-06-29,81000,-1.10,81900,82100,80800,15744317
2021-06-28,81900,0.37,81700,82000,81600,11578529
2021-06-25,81600,0.49,81500,81900,81200,13481405
2021-06-24,81200,1.37,80400,81400,80100,18771080
2021-06-23,80100,0.13,80500,80600,79900,13856548
2021-06-22,80000,0.13,80200,80300,79900,11773365
2021-06-21,79900,-0.75,79700,80000,79600,16063340
2021-06-18,80500,-0.49,81100,81100,80500,14916721
2021-06-17,80900,-1.10,81100,81300,80700,14007385
2021-06-16,81800,1.11,81500,81900,81100,14999855
2021-06-15,80900,0.50,80900,81200,80600,10075685
2021-06-14,80500,-0.62,80800,80900,80500,10550078
2021-06-11,81000,0.00,81200,81700,80700,14087962
2021-06-10,81000,-0.12,81300,81400,80900,17586995
2021-06-09,81100,-0.98,81500,82000,81100,14908823
2021-06-08,81900,0.00,82300,82600,81800,12781226
2021-06-07,81900,-0.36,82700,82800,81600,16496197
2021-06-04,82200,-0.72,82700,82700,81500,18112259
2021-06-03,82800,2.48,81300,83000,81100,29546007
2021-06-02,80800,0.25,80400,81400,80300,16414644
2021-06-01,80600,0.12,80500,81300,80100,14058401
2021-05-31,80500,0.50,80300,80600,79600,13321324
2021-05-28,80100,0.63,79800,80400,79400,12360199
2021-05-27,79600,-0.25,80000,80000,79100,23198510
2021-05-26,79800,-0.13,80400,80500,79700,11984359
2021-05-25,79900,0.25,80000,80400,79800,13628942
2021-05-24,79700,-0.50,80100,80400,79500,13398666
2021-05-21,80100,0.75,80100,81500,79800,20961714
2021-05-20,79500,-0.13,79400,79700,79100,16541828
2021-05-18,79600,0.00,79600,80000,79100,17494407
2021-05-17,79600,-0.62,80800,80900,79200,17740855
2021-05-14,80100,2.04,79000,80300,78900,16450920
2021-05-13,78500,-1.88,78900,79600,78400,31490096
2021-05-12,80000,-1.48,80800,81200,79800,35812268
2021-05-11,81200,-2.40,82500,82600,81100,28996680
2021-05-10,83200,1.59,82300,83500,81800,19385027
2021-05-07,81900,-0.49,81800,82100,81500,14154882
2021-05-06,82300,-0.36,81700,82300,81700,17047511
2021-05-04,82600,1.10,81900,82600,81800,12532550
2021-05-03,81700,0.25,81000,82400,81000,15710336
2021-04-30,81500,-0.24,81900,82100,81500,18673197
2021-04-29,81700,-0.49,82400,82500,81500,20000973
2021-04-28,82100,-0.97,83200,83200,82100,15596759
2021-04-27,82900,-0.72,83200,83300,82500,12941533
2021-04-26,83500,0.85,82900,83500,82600,15489938
2021-04-23,82800,0.49,81900,82900,81600,17805080
2021-04-22,82400,-0.24,82900,83000,82400,13934746
2021-04-21,82600,-1.55,83300,83500,82500,21636079
2021-04-20,83900,0.72,83300,84000,83100,15521965
2021-04-19,83300,-0.72,83800,84000,83300,15287311
2021-04-16,83900,-0.24,84700,84700,83600,15429522
2021-04-15,84100,0.12,83700,84500,83400,16377412
2021-04-14,84000,0.00,84000,84300,83400,13794652
2021-04-13,84000,0.96,83000,84500,82800,15238206
2021-04-12,83200,-0.48,84100,84100,83100,12915282
2021-04-09,83600,-1.30,84700,84900,83400,18193707
2021-04-08,84700,-1.05,85700,85700,84100,19244259
2021-04-07,85600,-0.47,86100,86200,85400,17885538
2021-04-06,86000,0.70,86200,86200,85100,19042023
2021-04-05,85400,0.71,85800,86000,84800,16255990
2021-04-02,84800,2.29,84000,85200,83900,22997538
2021-04-01,82900,1.84,82500,83000,82000,18676461
2021-03-31,81400,-0.97,82400,82700,81400,17240518
2021-03-30,82200,0.74,81600,82300,81300,13121698
2021-03-29,81600,0.12,81700,81700,81000,14952134
2021-03-26,81500,0.37,81400,81600,81000,12845778
2021-03-25,81200,0.25,81000,82100,80800,14758826
2021-03-24,81000,-0.98,81000,81600,80700,17926638
2021-03-23,81800,-0.24,82600,82900,81800,13299907
2021-03-22,82000,0.12,82000,82300,81700,12670506
2021-03-19,81900,-1.21,82100,82500,81800,15869700
2021-03-18,82900,0.73,82800,83800,82600,18585244
2021-03-17,82300,-0.60,82800,82900,82000,11625146
2021-03-16,82800,1.22,82200,83000,82100,12293537
2021-03-15,81800,-1.21,82800,82900,81800,13735798
2021-03-12,82800,0.98,83100,83500,82400,13530573
2021-03-11,82000,1.36,81000,82500,81000,23818297
2021-03-10,80900,-0.61,82400,82500,80700,20038422
2021-03-09,81400,-0.73,81400,81900,80600,25420764
2021-03-08,82000,-0.12,82900,83000,81600,17641256
2021-03-05,82100,-0.36,81100,82600,81100,20508971
2021-03-04,82400,-1.90,82600,83200,82200,24348331
2021-03-03,84000,0.48,83500,84000,82800,19882132
2021-03-02,83600,1.33,85100,85300,83000,33498180
2021-02-26,82500,-3.28,82800,83400,82000,38520800
2021-02-25,85300,4.02,84000,85400,83000,34155986
2021-02-24,82000,0.00,81800,83600,81300,26807651
2021-02-23,82000,-0.24,81200,82900,81100,20587314
2021-02-22,82200,-0.48,83800,84200,82200,25419886
2021-02-19,82600,0.61,82300,82800,81000,25880879
2021-02-18,82100,-1.32,83200,83600,82100,21327683
2021-02-17,83200,-2.00,83900,84200,83000,18307735
2021-02-16,84900,0.83,84500,86000,84200,20483100
2021-02-15,84200,3.19,83800,84500,83300,23529706
2021-02-10,81600,-1.33,82600,82600,81600,23025766
2021-02-09,82700,-0.36,84000,84800,82700,20898332
2021-02-08,83000,-0.60,83800,84200,83000,15338765
2021-02-05,83500,1.21,83100,84000,82500,18036835
2021-02-04,82500,-2.48,83500,83800,82100,24171688
2021-02-03,84600,0.24,84800,85400,83400,22112205
2021-02-02,84400,1.69,84100,86400,83700,26302077
2021-02-01,83000,1.22,81700,83400,81000,28046832
2021-01-29,82000,-2.03,84500,85000,82000,39615978
2021-01-28,83700,-2.22,83200,85600,83200,31859808
2021-01-27,85600,-1.27,86600,87700,85600,26423070
2021-01-26,86700,-3.02,88800,89200,86500,33178936
2021-01-25,89400,3.00,87000,89900,86300,27258534
2021-01-22,86800,-1.48,89000,89700,86800,30861661
2021-01-21,88100,1.03,87500,88600,86500,25318011
2021-01-20,87200,0.23,89000,89000,86500,25211127
2021-01-19,87000,2.35,84500,88000,83600,39895044
2021-01-18,85000,-3.41,86600,87300,84100,43227951
2021-01-15,88000,-1.90,89800,91800,88000,33431809
2021-01-14,89700,0.00,88700,90000,88700,26393970
2021-01-13,89700,-0.99,89800,91200,89100,36068848
2021-01-12,90600,-0.44,90300,91400,87800,48682416
2021-01-11,91000,2.48,90000,96800,89500,90306177
2021-01-08,88800,7.12,83300,90000,83000,59013307
2021-01-07,82900,0.85,82800,84200,82700,32644642
2021-01-06,82200,-2.03,83300,84500,82100,42089013
2021-01-05,83900,1.08,81600,83900,81600,35335669
2021-01-04,83000,2.47,81000,84400,80200,38655276
2020-12-30,81000,3.45,77400,81300,77300,29417421
2020-12-29,78300,-0.51,78800,78900,77300,30339449
2020-12-28,78700,1.16,79000,80100,78200,40085044
2020-12-24,77800,5.28,74100,78800,74000,32502870
2020-12-23,73900,2.21,72400,74000,72300,19411326
2020-12-22,72300,-0.96,72500,73200,72100,16304910
2020-12-21,73000,0.00,73100,73400,72000,20367355
2020-12-18,73000,-0.41,73300,73700,73000,17613029
2020-12-17,73300,-0.68,73400,73700,72600,24293214
2020-12-16,73800,0.00,74100,74500,73400,17512081
2020-12-15,73800,0.00,73800,74100,73300,20863671
2020-12-14,73800,0.54,73600,74500,73200,21510415
2020-12-11,73400,0.69,73500,73800,73100,18486672
2020-12-10,72900,-1.35,72700,73800,72500,39882928
2020-12-09,73900,3.07,72100,73900,72000,24077996
2020-12-08,71700,-1.65,72200,72900,71600,25000338
2020-12-07,72900,1.96,72400,73500,71900,28490496
2020-12-04,71500,2.58,70400,72100,70100,28130533
2020-12-03,69700,0.29,70100,70500,69300,23677989
2020-12-02,69500,2.51,68400,69900,68300,29703942
2020-12-01,67800,1.65,67100,68300,67100,22327173
2020-11-30,66700,-2.20,68400,68600,66700,43811016
2020-11-27,68200,0.29,68000,68400,67600,14063434
2020-11-26,68000,2.10,66100,68000,66000,19023323
2020-11-25,66600,-1.62,67900,68300,66500,32447065
2020-11-24,67700,0.30,67900,69500,67000,32158235
2020-11-23,67500,4.33,64800,67800,64700,27134398
